District,State,Latitude,Longitude
Ujjain,MADHYA PRADESH,23.185696,75.779601
Ukhrul,MANIPUR,25.091234,94.363891
Umaria *,MADHYA PRADESH,23.525654,80.837774
Una,HIMACHAL PRADESH,31.46426,76.268458
Unnao,UTTAR PRADESH,26.545632,80.489814
Upper Siang *,ARUNACHAL PRADESH,28.613345,95.066152
Upper Subansiri,ARUNACHAL PRADESH,28.029687,94.216858
Uttar Dinajpur,WEST BENGAL,25.609131,88.125952
Uttara Kannada,KARNATAKA,14.804209,74.131214
Uttarkashi,UTTARANCHAL,30.715986,78.430542
Vadodara,GUJARAT,22.287726,73.206027
Vaishali,BIHAR,25.676599,85.219298
Valsad,GUJARAT,20.631227,72.933378
Varanasi,UTTAR PRADESH,25.325043,82.975165
Vellore,TAMIL NADU,12.909641,79.139241
Vidisha,MADHYA PRADESH,23.531456,77.812138
Viluppuram,TAMIL NADU,11.936979,79.487333
Virudhunagar,TAMIL NADU,9.594003,77.952743
Visakhapatnam,ANDHRA PRADESH,17.724253,83.305865
Vizianagaram,ANDHRA PRADESH,18.124612,83.406912
Warangal,ANDHRA PRADESH,18.030289,79.57543
Wardha,MAHARASHTRA,20.735221,78.604456
Washim *,MAHARASHTRA,20.108935,77.142117
Wayanad,KERALA,11.606117,76.088347
West,SIKKIM,27.290085,88.244703
West Garo Hills,MEGHALAYA,25.505214,90.280827
West Godavari,ANDHRA PRADESH,16.719836,81.100761
West Kameng,ARUNACHAL PRADESH,27.264281,92.425854
West Khasi Hills,MEGHALAYA,25.518083,91.269445
West Nimar,MADHYA PRADESH,21.825248,75.61635
West Siang,ARUNACHAL PRADESH,28.168599,94.80047
West Tripura,TRIPURA,23.827795,91.274175
Wokha,NAGALAND,26.0917,94.258877
Yamunanagar,HARYANA,30.30369,77.307789
Yanam,PONDICHERRY,16.734771,82.213971
Yavatmal,MAHARASHTRA,20.3876,78.131472
Zunheboto,NAGALAND,26.009562,94.521241
